location_id,row,col,invalid
1,0,5,0
2,0,6,0
3,0,7,0
4,1,10,0
5,1,9,0
6,1,8,0
7,1,7,0
8,1,6,0
9,1,5,0
10,1,4,0
11,1,3,0
12,2,2,0
13,2,3,0
14,2,4,0
15,2,5,0
16,2,6,0
17,2,7,0
18,2,8,0
19,2,9,0
20,2,10,0
21,2,11,0
22,3,11,0
23,3,10,0
24,3,9,0
25,3,8,0
26,3,7,0
27,3,6,0
28,3,5,0
29,3,4,0
30,3,3,0
31,3,2,0
32,3,1,0
33,4,1,0
34,4,2,0
35,4,3,0
36,4,4,0
37,4,5,0
38,4,6,0
39,4,7,0
40,4,8,0
41,4,9,0
42,4,10,0
43,4,11,0
44,4,12,0
45,5,12,0
46,5,11,0
47,5,10,0
48,5,9,0
49,5,8,0
50,5,7,0
51,5,6,0
52,5,5,0
53,5,4,0
54,5,3,0
55,5,2,0
56,5,1,0
57,5,0,1
58,6,0,1
59,6,1,0
60,6,2,0
61,6,3,0
62,6,4,0
63,6,5,0
64,6,6,0
65,6,7,0
66,6,8,0
67,6,9,0
68,6,10,0
69,6,11,0
70,6,12,0
71,7,12,0
72,7,11,0
73,7,10,0
74,7,9,0
75,7,8,0
76,7,7,0
77,7,6,0
78,7,5,0
79,7,4,0
80,7,3,0
81,7,2,0
82,7,1,0
83,8,1,0
84,8,2,0
85,8,3,0
86,8,4,0
87,8,5,0
88,8,6,0
89,8,7,0
90,8,8,0
91,8,9,0
92,8,10,0
93,8,11,0
94,8,12,0
95,9,11,0
96,9,10,0
97,9,9,0
98,9,8,0
99,9,7,0
100,9,6,0
101,9,5,0
102,9,4,0
103,9,3,0
104,9,2,0
105,10,3,0
106,10,4,0
107,10,5,0
108,10,6,0
109,10,7,0
110,10,8,0
111,10,9,0
112,10,10,0
113,11,8,0
114,11,7,0
115,11,6,0
116,11,5,0
